AAB	Abelag Aviation - Belgium	ABG
FRS	Comfort Servicios Aereos, S.A. de C.V. - Mexico	Comfort Servicios
FRU	Securite Civile Francaise - France	French Rescue
FRW	Farwest Airlines, Inc. (Chandler, AZ) - United States	Farwest
FRX	Fort Aero - Estonia	Fort Aero
FSA	Foster Aviation (Nome, AK) - United States	Foster-Air
FSB	FSB Flugservice & Development GmbH, Berlin - Germany	Seabird
FSC	Four Star Aviation D/B/A Four Star Gargo (St. Thomas, VI) - United States	Four Star
FSE	Afs Alpine Flightservice GmbH - Austria	Falco
FSF	Fly7 Finland - Finland	Rocky
FSJ	Freesky Aviation Co., Ltd - China	Free Sky
FSK	Africa Charter Airlines CC - South Africa	African Sky
FSO	Sky One S.r.o. - Slovakia	Sky Air
FSP	Aperture Aviation - United States	Snapshot
FSQ	Flysky Airlines - Kyrgyzstan	Kyrgyz Bird
FSR	Flightstar Corporation, the (Savoy, IL) - United States	Flightstar
FSS	Cherokee Air Limited - Bahamas	Abaco
FST	Flight Support Inc. - United States	Flightron
FSU	Flysky Airlines - Ukraine	Ukraine Bird
FSW	Faso Airways Sarl - Burkina Faso	Faso
FSX	Flagship Express Services, Inc. (Ypsilanti, MI) - United States	Flag
FSY	Privateair Inc. - Canada	Frosty
FTA	Frontier Flying Service, Inc. (Fairbanks, AK) - United States	Frontier-Air
FTC	Ftc Aviation - San Marino	Fantastic
FTD	Andrew Bettis Aviation, LLC DBA AB Jets - United States	Fortitude
FTH	Mountain Aviation, Inc. (Broomfield, CO) - United States	Foothills
FTJ	Fu Tai Business Jets Co. Ltd. - China	Hu Tai
FTK	North Carolina Forest Service - United States	Firetac
FTL	Flightline - Spain	Flight-Avia
FTM	Flyteam Aviation Ltd - United Kingdom	Flyteam
FTO	Tropic Ocean Airways LLC - United States	Wagner
FTP	Keystone Aerial Surveys, Inc. (Philadelphia, PA) - United States	Footprint
FTR	Finist'Air - France	Finistair
FTU	China Civil Aviation Flight University - China	Flight University
FTY	ABC Bedarfsflug GmbH - Austria	Fly Tyrol
FTZ	Fastjet Airlines Ltd - United Republic of Tanzania	Grey Bird
FUC	Fumicar - Ecuador	Fumicar
FUH	Jilin First International Aviation Academy Co., Ltd - China	Gallant
FUJ	Fujairah Aviation Centre - United Arab Emirates	Fujairah
FUL	Five Forty Uganda Limited - Uganda	Orange Crane
FUM	Fuxion Line Mexico, S.A. de C.V. - Mexico	Funline
FUP	Fumipalma - Ecuador	Fumipalma
FUS	Fumisol - Ecuador	Fumisol
FVA	Cardinal/Air Virginia (Lynchburg, VA) - United States	Air Virginia
FVJ	Fly For Value Aviation Limited (Valuejet) - Nigeria	Valuejet
FVS	Falcon Aviation Services - United Arab Emirates	Falcon Aviation
FWD	Fair Wind Air Charter (Stuart, FL) - United States	Fair Wind
FWI	Air Caraibes - France	French West
FWK	Flightworks, Inc. (Kennesaw, GA) - United States	Flightworks
FWL	Florida West International Airways, Inc. (Miami, FL) - United States	Flo West
FWR	Flightaware (Houston, TX) - United States	Flightaware
FXI	Flugfelag Islands, Air Iceland Connect - Iceland	Faxi
FXP	Buzz Aero S.r.l. - Romania	Sundial
FXW	Associated Aircraft Group, Inc. (Wappingera Falls, NY) - United States	Flexwing
FYA	Servicios Aereos Integrales S.A. (Flyant) - Spain	Flyant
FYE	Easy Link Aviation Services - Nigeria	Flyme
FYG	Flying Service - Belgium	Flying Group
FYJ	Flyjet Sp. z.o.o. - Poland	Fastjet
FYL	Flying Group Luxembourg S.A. - Luxembourg	Flyinglux
FYN	Pt.Flyindo Aviasi Nusantara - India	Flandy
FYS	European Flyers - Spain	European Flyers
FYW	Flyways Linhas Aereas Ltda. - Brazil	Maisbrasil
FZA	Fuzhou Airlines Co. Ltd. - China	Strait Air
FZW	Fly Africa - Zimbabwe - Zimbabwe	Fresh Express
GAA	Gloabal Africa Aviation - Zimbabwe	Global Africa
GAB	Aerobell Airlines - Costa Rica	Cali
GAC	Globeair AG - Austria	Dream Team
GAD	South Coast Aviation (Bournemouth) Ltd - United Kingdom	Southcoast
GAE	Shenzhen Gulf Aviation Co., Ltd. - China	Gulf Aviation
GAF	German Air Force - Germany	German Air Force
GAG	Greybird Aviation Group - Denmark	Geebird
GAH	Ga-Ma Helicoptere - France	Gamhelico
GAJ	Gama Aviation, LLC (Shelton, CT) - United States	Gama Jet
GAK	Global Air Transport - Libya	Aviagroup
GAL	Alianza Glancelot, C.A. - Venezuela (Bolivarian Republic of)	Errante
GAM	German Army - Germany	German Army
GAP	Air Philippines - Philippines	Airphil
GAR	Glory Airline - Nigeria	Glory Air
GAS	Galena Air Service (Galena, AK) - United States	Galena Air Service
GAT	Gulf Air Inc. (New Iberia, LA) - United States	Gulf Trans
GAU	Aerogaucho S.A. - Uruguay	Aerogaucho
GAW	Global Airlift Limited - Kenya	Skycrawler
GAX	Full Express, Inc. (Swanton, OH) - United States	Grand Aire
GBA	Gulf Air Bahrain B.S.C. - Bahrain	Gulf Bahrain
GBB	Global Aviation Operations (Pty) Ltd - South Africa	Globe
GBC	Gabon Airlines Cargo - Gabon	Gabon Cargo
GBE	Gabon Express - Gabon	Gabex
GBJ	Rps System Co., Ltd. - Thailand	Global Thai
GBK	Gabon Airlines - Gabon	Gabon Airlines
GBM	Beriev Aircraft Company - Russian Federation	Beriev Company
GBN	Atlantic Airlines - Gabon	Atlantic Gabon
GBQ	Gambia Bird Airlines Limited - Gambia	Gambia Bird
GBR	Rader Aviation, Inc. (White Sulfer Springs, WV) - United States	Greenbrier Air
GBS	Global Air Services Nigeria Ltd - Nigeria	Global Serve
GBX	GB Airlink, Inc. (Ft. Lauderdale, FL) - United States	Geebee Link
GCA	Servicios Aereos Geca - Dominican Republic	Aerogeca
GCB	Lignes Nationales Aeriennes - Linacongo - Congo	Linacongo
GCC	General Electric Capital Aviation Services - Ireland	Gecas
GCF	Aeronor - Spain	Aerocarto
GCI	Guardia Costiera Italiana - Italy	Italian Coast Guard
GCK	Glock Aviation GmbH - Austria	Glock
GCL	Cargologic Germany GmbH - Germany	Saxonian
GCM	Comair Flight Services (Pty) Ltd - South Africa	Globecom
GCN	Gulf Central Airlines Inc. (Melbourne, FL) - United States	Gulf Central
GCR	Tianjin Airlines Co., Ltd - China	Bo Hai
GCS	Skyway Airlines - Costa Rica	Sky Tec
GCT	GC Aviation (Houston, TX) - United States	Gulf Coast
GCW	Flygac A/S - Denmark	Globalcrew
GCY	CHC Global Operations International - United Kingdom	Helibird
GDA	Severn Aviation Ltd - United Kingdom	Gladiator
GDB	Gendarmerie Belge - Belgium	Belgian Gendarmerie
GDC	Grand China Air Co., Ltd - China	Grand China
GDE	Great Dane Airlines A/S - Denmark	Great Dane
GDG	S.P. Aviation (Hayward, CA) - United States	Golden Gate
GDH	Guneydogu Havacilik Isletmesi Ltd Std - Turkey	Rising Sun
GDK	Goldeck-Flug Ges.M.B.H. - Austria	Goldeck Flug
GDR	Gadair European Airlines, S.L. - Spain	Gadair Lines
GDS	Steelman Aviation Inc - United States	Goldstrike
GDY	Lifeflight Australia Pty Ltd - Australia	Guardian
GEC	Lufthansa Cargo AG, Frankfurt (Main) - Germany	Lufthansa Cargo
GEE	Aereo Ge, S.A. de C.V. - Mexico	Gemex
GEL	Airline Geo Sky LLC - Georgia	Sky Georgia
GEN	Gensa - General Services Aviation - Brazil	Gensa-Brasil
GEO	Ams Airlines L.L.C. - Georgia	Apolax
GER	German Airways GmbH & Co Kg - Germany	German Eagle
GES	Gestair Executive Jet - Spain	Gestair
GET	Get High, Unipessoal Lda - Portugal	Air Flow
GEX	Aero Expedition LLC - Georgia	Aero Georgia
GFA	Gulf Air - Bahrain	Gulf Air
GFC	Gail Force Express (Janesville, WI) - United States	Gail Force
GFD	GFD Gesellschaft Fuer Flugzieldarstellung mbH, Hohn - Germany	Kite
GFM	Grafair Flight Managment Ab - Sweden	Parrot
GFN	The 955 Preservation Group - United Kingdom	Griffon
GFS	Gulfstream Airlines, Inc. (South Windsor, CT) - United States	Gulfstar
GFV	Grupo Aeronautico Afa, S.A. de C.V. - Mexico	Grupo-Afa
GGA	First Flying Squadron, Inc. - United States	Jawja
GGC	Cargo 360, Inc. (Seattle, WA) - United States	Long-Haul
GGE	Gobierno de la Republica de Guinea Ecuatorial - Equatorial Guinea	Ecuato Guinea
GGG	Genesis Global Aviation Ltd - Nigeria	Genesis
GGL	Gira Globo Lda. - Angola	Gira Globo
GGN	Pivot Airlines - Canada	Great North
GGT	Trans Island Airways Ltd. - Bahamas	Thunderball
GHA	Group Holdings Aviation, LLC (Fort Worth, TX) - United States	Sutter
GHF	Ghana Airforce - Ghana	Ghana Airforce
GHK	Vintage Wings of Canada - Canada	Golden Hawk
GHL	Guilin General Aviation Company, Ltd. - China	Guilin Rotor
GHN	Air Ghana - Ghana	Air Ghana
GHP	Colvin Aviation, Inc. (Athens, GA) - United States	Grasshopper Ex
GIA	Garuda Indonesia Airways, Pt. - Indonesia	Indonesia
GIO	Gio D.O.O. - Slovenia	Gio-Avia
GJA	1590877Ab DBA Northstar Air Tours Ltd - Canada	Grey Jay
GJB	Trans-Air-Link Co. (Miami, FL) - United States	Sky Truck
GJE	Global Air Charters (Teterboro, NJ) - United States	Global Jets
GJI	Gainjet Ireland Ltd - Ireland	Gainstar
GJM	Airhub Airlines Limited - Malta	Airhub
GJS	Gojet Airlines, LLC. (St. Louis, MO) - United States	Lindbergh
GJT	Getjet Airlines, Uab - Lithuania	Getjet
GJW	Global Jet Aruba V.B.A. - Netherlands	Plata
GKA	U S Army Parachute Team - United States	Golden Knights
GLA	Great Lakes Aviation Ltd (Spencer, IA) - United States	Lakes Air
GLB	Global Air Company Limited Liability Partnership - Ukraine	Global
GLD	Golden Star Air Cargo Co. Ltd - Sudan	Golden Star
GLE	Goliaf Air - Sao Tome and Principe	Goliaf Air
GLF	Gulfstream Aerospace (Savannah, GA) - United States	Gulfstream Test
GLG	Avianca-Ecuador - Ecuador	Galapagos
GLJ	Global Jet Austria GmbH - Austria	Global Austria
GLL	Air Gemini, Lda - Angola	Twins
GLO	Gol Linhas Aereas S.A. - Brazil	Gol Transporte
GLP	Globus - Russian Federation	Globus
GLQ	El Quilada International Aviation Co. Ltd - Sudan	Quilada
GLR	Central Mountain Air Ltd - Canada	Glacier
GLS	RAF Gliding Squadron (Conventional) - United Kingdom	Sedburgh
GLT	Aero Charter, Inc. (Chesterfield, MO) - United States	Gaslight
GLU	Great Lakes Airways (U) Ltd - Uganda	Lakes Cargo
GLV	Global Avanti - Venezuela (Bolivarian Republic of)	Avanti
GLX	Gelix Airlines - Russian Federation	Russian Bird
GLY	Galaxy Aviation (Pvt) Ltd - Pakistan	Galaxy Aviation
GMA	Gama Aviation Ltd - United Kingdom	Gama
GMC	General Motors Corporation (Ypsilanti, MI) - United States	General Motors
GMD	Gulf Med Aviation Services Ltd. - Malta	Gulf Med
GME	GM Helicopters 102 Ne Co., Ltd - Lao People's Democratic Republic	Globe Meridian
GMG	GM Helicopters - Latvia	Gee-Em Helicopters
GMH	Hughes Flying Service, Inc. (Miami, FL) - United States	Hughes
GMJ	Gamisa Aviacion, S.L. - Spain	Gamisa
GML	G & L Aviation - South Africa	Geeandel
GMN	Garmin, Inc. - United States	Garmin
GMR	Golden Myanmar Airlines, Public Company Ltd - Myanmar	Golden Myanmar
GMT	Grupoaereo Monterrey, S.A. de C.V. - Mexico	Grupomonterrey
GNA	Servicios Aereos Gana, S.A. de C.V. - Mexico	Servigana
GNC	Guinea Cargo - Equatorial Guinea	Guinea Cargo
GND	Grand Airways, Inc. (Las Vegas, NV) - United States	Grand Vegas
GNF	Green Flag Aviation Co.Ltd - Sudan	Green Flag
GNJ	Gain Jet Aviation S.A. - Greece	Gain Jet
GNR	Gambia International Airlines Ltd - Gambia	Gambia International
GNX	Genex Ltd - Belarus	Aerogenex
GNY	German Navy - Germany	German Navy
GNZ	General Aviation SP. z.o.o. - Poland	Gonzo
GOF	Gof-Air, S.A. de C.V. - Mexico	Gof-Air
GOJ	Eurojet Aviation Ltd - United Kingdom	Gojet
GOL	Cargolaar Cc - Namibia	Cargolaar
GOM	Gomel Airlines - Belarus	Gomel
GOP	Gospa Air, S.A. de C.V. - Mexico	Gospa Air
GOW	Go Airlines (India) Private Limited - India	Goair
GOZ	Groznyy Avia JSC - Russian Federation	Groznyy Avia
GPA	Kingman Aviation, Inc. D/B/A Golden  Pacific Airlines (Kingman, AZ) - United States	Gold Pac
GPD	Tradewind Aviation LLC (Oxford, CT) - United States	Goodspeed
GPL	Gesplane Servicios Aereos, S.L. - Spain	Gesplane
GPM	Grup Air-Med S.A. - Spain	Grupomed
GPR	GPM Aeroservicio, S.A. de C.V. - Mexico	GPM Aeroservicio
GPX	GP Aviation Ltd. - Bulgaria	Ivory
GRA	Guardian Air Asset Management (Pty) Ltd - South Africa	Flex
GRC	Grace Flight of America (Addison, TX) - United States	Grace Flight
GRD	National Grid Co - United Kingdom	Grid
GRE	Greenlandcopter A/S - Denmark	Helix
GRF	Gryphon Airlines SA (Pty) Ltd - South Africa	Simba
GRL	Air Greenland A/S - Denmark	Greenland
GRM	Arizona State Government, Cochise County Sheriff - United States	Geronimo
GRN	Grande Aviation - United States	Grande
GRP	Gryphon Air, LLC - United States	Air Fox
GRR	Agroar - Trabalhos Aereos Lda. - Portugal	Agroar
GRV	Epsilon Aviation - Greece	Epsilon
GRX	Aircompany Grodno - Belarus	Grodno
GRY	New York State Police (Albany, NY) - United States	Gray Rider
GSA	Garden State Airlines, Inc. (Shrewsbury, NJ) - United States	Garden State
GSC	Grandstar Cargo International Airlines Co., Ltd - China	Grandstar Cargo
GSF	Aeronaves Ejecutivas Gsf, S.A. de C.V. - Mexico	Aero Gesef
GSH	Gama Aviation Fzc - United Arab Emirates	Gamamena
GSI	Government of the Republic of Slovenia - Slovenia	Slovenia
GSJ	G-Jet - Czech Republic	Grossjet
GSK	Global Sky Aircharter Corporation (Ft. Lauderdale, FL) - United States	Global Sky
GSL	Geographic Air Surveys Ltd. - Canada	Survey-Canada
GSP	Global Flight School - Portugal	Global School
GST	Global Supertanker - United States	Supertank
GSW	Chair Airlines AG - Switzerland	Eiger
GSY	Devinaire, LLC - United States	Gray Sky
GTA	City Airways Co. Ltd - Thailand	City Airways
GTF	Elj Aviation LLC (Sanford, FL) - United States	Gator Flight
GTH	General Aviation Flying Services (Teterboro, NJ) - United States	Gotham
GTI	Atlas Air, Inc. (Jamaica, NY) - United States	Giant
GTP	Aerotaxi Grupo Tampico, S. A. de C.V. - Mexico	Grupotampico
GTR	Galistair Trading Limited - Malta	Galistair
GTS	Groupe Transair - Senegal	Transgroup
GTV	Empresa de Aviacion Aerogaviota, S.A. - Cuba	Gaviota
GTW	American Air Charter, Inc. (Chesterfield, MO) - United States	Gateway
GTX	GTA Air, Inc. (Lancaster, TX) - United States	Big-Dee
GUC	Puer General Aviation Co., Ltd - China	Leaf Air
GUE	Aero Servicio Guerrero, S.A. de C.V. - Mexico	Aero Guerrero
GUG	Empresa Guatemalteca de Aviacion (Aviateca) - Guatemala	Aviateca
GUJ	Gujarat Airways - India	Gujaratair
GUL	Gull Air (So. Yarmouth, MA) - United States	Gull-Air
GUM	Gum Air N.V. - Suriname	Gum Air
GUN	Grant Aviation, Inc. (Anchorage, AK) - United States	Hoot
GUY	Air Guyane Sp. - France	Green Bird
GVA	Grupo Aeronautico Ova, S.A. de C.V. - Mexico	Grupova
GVN	Gavina - Spain	Gavina
GWC	Gulf Wings - United Arab Emirates	Gulf Wings
GWI	Germanwings GmbH, Koeln - Germany	German Wings
GWL	Great Wall Airlines Co., Ltd - China	Great Wall
GWR	Aura Airlines Sl (Gowair) - Spain	Lemon
GWS	General Airways - South Africa	Genair
GWY	USA 3000 Airlines (Newtown Square, PA) - United States	Getaway
GWZ	Golden Wings Charter (Bahamas) - Bahamas	Sun Burn
GXA	Global Crossing Airlines - United States	Gemini
GYG	Serviceair - Georgia	Natakhtari
GYP	Eagle Aviation - United Kingdom	Gypsy
GYR	Sncf Surete - France	Gyrofer
GZP	Gazpromavia - Russian Federation	Gazprom
GZR	Aeromanagement Group - United States	Gezira
HAA	Helicopteros Agroforestal Ltda. - Chile	Agroforestal
HAC	Heli Sky - Kyrgyzstan	Heli Mount
HAD	Haiti Aviation S.A. D/B/A Air D'Ayiti - Haiti	Haiti Avia
HAE	Kenmore Crew Leasing, Inc. (Kenmore, WA) - United States	Holland Air
HAF	Hellenic Air Force - Greece	Hellenic Air Force
HAG	Hageland Aviation Services, Inc. (Anchorage, AK) - United States	Hageland
HAH	Hanhwa Business Jet Airlines Co., Ltd - China	Hanma
HAJ	Avic Joy General Aviation Co., Ltd. - China	Dingchang
HAK	Pegasus Helicopter AS - Norway	Helifalcon
HAL	Hawaiian Airlines - United States	Hawaiian
HAN	Aushaanair Limited - Kenya	King Bee
HAO	Harty Aviation - Egypt	Harty
HAP	Helicopteros Aero Personal, S.A. de C.V. - Mexico	Helipersonal
HAR	Harbor Airlines (Oak Harbor, WA) - United States	Harbor
HAS	Aerocaribe de Honduras, S. de R.L. (Honduras Air) - Honduras	Honduras Air
HAT	Air Horizont - Malta	Sky Runner
HAU	Skyhaul Pty Ltd - South Africa	Skyhaul
HAV	Havilah Air Services - Nigeria	Havilah
HAW	Bangkok Aviation Center Co., Ltd - Thailand	Thai Hawk
HAX	Benair AS - Norway	Scoop
HAY	Haya Aviation Services Limited - Saudi Arabia	Haya
HBA	Trail Lake Flying Service, Inc. D/B/A  Harbor Air (Seward, AK) - United States	Harbor Air
HBC	Haitian Aviation Line S.A. - Haiti	Halisa
HBH	Hebei Airlines Co., Ltd - China	Hebei Air
HBN	Hibernian Airlines - Ireland	Finch
HBR	Hebridean Air Services - United Kingdom	Hebridean
HBT	Polizeihubschrauberstaffel Thueringen, Erfurt - Germany	Habicht
HCA	Lake Havasu Air Service (Lake Havasu City, AZ) - United States	Havasu
HCB	Helenair (Barbados) - Barbados	Helen
HCC	Heli and Co S.A. - Belgium	Helianco
HCF	Helicopterflights Ltd - Malta	Eagle
HCH	Helicopteros del Caribe, C.A. (Helica) - Venezuela (Bolivarian Republic of)	Helica
HCK	Heli-Charter Ltd - United Kingdom	Heli-Charter
HCO	Heavy Lift Congo - Congo	Congo Lift
HCP	Helicopter - Czech Republic	Heli Czech
HCS	Helicharter Wales Ltd - United Kingdom	Heliwales
HCT	Cat Helicopters S.L. - Spain	Rotorcat
HCV	Halcyon Air Cabo Verde - Cabo Verde	Creole
HDA	Hong Kong Dragon Airlines (Hda) - China	Dragon
HDC	Helicopteros de Cataluna, S.A. - Spain	Helicataluna
HDI	Hoteles Dinamicos, S.A. de C.V. - Mexico	Dinamicos
HDL	Hendell Aviation Oy - Finland	Hendell
HDM	Harley-Davison Motor Company - United States	Hog
HDR	Helitrans AS - Norway	Helitrans
HEA	Heliavia-Transporte Aereo, Lda - Portugal	Heliavia
HEB	Heli Bernina AG - Switzerland	Helibernina
HED	Heritage Aviation Developments Ltd - United Kingdom	Flapjack
HEE	Heliejecutivo, S.A. de C.V. - Mexico	Heliejecutivo
HEI	Ricardo Hein B. (Aerohein Ltda.) - Chile	Aerohein
HEL	Helicol. Helicopteros Nacionales de Colombia - Colombia	Helicol
HEN	Helicopteros y Vehiculos Nacionales Aereos, S.A. de C.V. - Mexico	Helinac
HEP	Oslo Politidistrikt, Helikoptertjenesten - Norway	Helipolice
HER	Hera Flight - United States	Hera
HES	Holiday Europe - Bulgaria	Holiday Europe
HET	Taf Helicopters S.A. - Spain	Helitaf
HEV	Helicopteros Ejecutivos, S.A. de C.V. - Mexico	Helijecutivo
HEW	ASA Heli-Water Sp. z.o.o. - Poland	Heliwater
HEX	Honiara Cargo Express - Solomon Islands	Honiara Cargo
HEZ	Arrow Aviation Ltd - Israel	Arrow
HFD	Blue City Aviation Ltd - United Kingdom	Highfield
HFJ	Shenzhen United Business Jet Co., Ltd - China	Pangu
HFL	Leaf - Lease & Fly Ltd - Malta	Loadstar
HFM	Hi Fly Ltd - Malta	Moonraker
HFY	Hi Fly - Portugal	Sky Flyer
HGB	Greater Bay Airlines Company Limited - China	Greater Bay
HGD	Korea Aerospace University - Republic of Korea	Hangdae
HGE	Martin S Famous Pastry Shoppe, Inc. (Chambersburg, PA) - United States	Hoagie
HGG	Hi Air - Republic of Korea	Hi Air
HGK	Fika Salaama Airlines Ltd - Uganda	Salaama
HGM	Prima Air Sdn. Bhd - Malaysia	Mahsuri
HGR	Hangar 8 Ltd - United Kingdom	Hang
HGT	GMU Air Shuttle, LLC (McClellan, CA) - United States	Hightech
HHA	Atlantic Airlines de Honduras, S. de R.L. - Honduras	Atlantic Honduras
HHE	Heli-Holland B.V. - Netherlands	Heli Holland
HHH	H H Helicopters Ltd - United Kingdom	Corinium
HHN	Hahn Air-Lines GmbH, Dreieich - Germany	Rooster
HHP	Helenia Helicopter Service Aps - Denmark	Helenia
HHS	Hi-Jet Helicopter Services N.V. - Suriname	Hijet
HIB	Helibravo Aviacao, Lda. - Portugal	Helibravo
HIF	Heli-Iberica Fotogrametria S.L. - Spain	Hifsa
HIL	Heli-Alpes SA - Switzerland	Heli Alpes
HIM	Himalaya Airlines Pvt. Ltd. - Nepal	Himalaya
HIN	Holding International Group, S.A. de C.V. - Mexico	Holding Group
HIP	Starship, S.A. de C.V. - Mexico	Starsa
HJA	Air Haiti - Haiti	Airhaiti
HJE	Servicios Ejecutivos Gosa, S.A. de C.V. - Mexico	Gosa
HJI	Shiv Air Limited - Uganda	Shiv Air
HJL	Hamlin Jet Ltd - United Kingdom	Bizjet
HJT	Helijetic Air - Sudan	Heltair
HKA	Superior Aviation, Inc. (Iron Mountain/Kingsford, MI) - United States	Spend Air
HKB	Hawker Beechcraft Corporation (Wichita, KS) - United States	Classic
HKC	Hong Kong Air Cargo Carrier - China	Mascot
HKE	Hong Kong Express Airways Ltd - China	Hongkong Shuttle
HKG	Government Flying Service of the Hong Kong Special Administrative Region - China	Hongkong Government
HKH	Air-Invest Ltd - Hungary	Hawkhungary
HKI	Wachovia Flight Operations D/B/A Hawkaire (Charlotte, NC) - United States	Hawkeye
HKL	Hak Air Limited - Nigeria	Hak Airline
HKN	Jim Hankins Air Service, Inc. (Jackson, MS) - United States	Hankins
HKR	Tower Aviation Management LLC DBA A2V - United States	Data Bird
HKS	CHC Helikopter Service AS - Norway	Helibus
HKV	Inversiones Hucaven C.A. - Venezuela (Bolivarian Republic of)	Hucaven
HLA	Hellenic Army - Greece	Hellenic Army
